Title,Date,Author,Website Source,Description,Link
Pokemon Company announces $5 million in donations to nonprofit orgs,6/12/20,Arda Ocal,ESPN,The Pokemon Company International has announced that it will donate a minimum of $5 million to nonprofit organizations around the world.,https://www.espn.com/esports/story/_/id/29303398/pokemon-company-announces-5-million-donations-nonprofit-orgs
The Pokemon Company sparks backlash after “deleting” Unite trailer,7/10/20,Brent Koepp,Dexerto,"On July 9, The Pokemon Company abruptly deleted the Unite reveal trailer before re-uploading a new version. The move has sparked backlash from some players who speculate it was to hide the overwhelmingly negative dislike ratio.",https://www.dexerto.com/pokemon/the-pokemon-company-sparks-backlash-after-deleting-unite-trailer-1390882
"Pokemon Go-Vid: Niantic, Inc. Launches Local Business Recovery Initiative",7/12/20,Moor Insights & Strategy; Zane Pickett,Forbes,"On June 15, Niantic launched a local business recovery initiative, in which it will give aid to 1,000 small businesses across the globe by transforming them into Pokestops and Gyms.",https://www.forbes.com/sites/moorinsights/2020/07/12/pokemon-go-vid-niantic-inc-launches-local-business-recovery-initiative/#5a2149c5119e
Japan's Baskin-Robbins Stores To Offer New Pokémon-Themed Ice Cream And Desserts,7/18/20,Abby Espiritu,The Gamer,"Beginning July 20, Baskin-Robbins stores in Japan will begin selling Pokémon-themed ice cream treats based on the upcoming movie Pokemon Coco.",https://www.thegamer.com/pokemon-ice-cream-baskin-robbins-company-japan-coco-film/
Pokémon Company Announces Massive Expansion: Champion's Path,7/23/20,Collier Jennings,CBR,"The Pokémon Trading Card Game has introduced a new expansion titled Champion's Path, featuring cards based on the Sword and Shield games.",https://www.cbr.com/pokemon-expansion-champions-path/
"The Pokémon Company Establishes Shanghai Subsidiary, Pokémon Shanghai Toy",7/24/20,Hongyu Chen,Pandaily,"Japanese company The Pokémon Company (TPC) has established its Chinese subsidiary in the city of Shanghai, which is called Pokémon Shanghai Toy Limited Company according to Chinese credit and rating tool Tianyancha.",https://pandaily.com/the-pokemon-company-establishes-shanghai-subsidiary-pokemon-shanghai-toy/
CASETiFY Reunites with The Pokémon Company for Another New Collection,7/27/20,CASETiFY,Yahoo! Finance,"Inspired by the concept of ""Past, Present, and Future,"" the latest CASETiFY & Pokémon collection plays on classic '90s trends, with cases featuring iconic patterns from the decade like bold checkerboards and tie-dye treatments. The premium quality accessories will showcase the fan-favorite Pokémon Pikachu, Bulbasaur, Charmander, and Squirtle on drop-resistant cases, incorporating the colorful styling and CASETiFY elements that fans around the world have come to know and love.",https://finance.yahoo.com/amphtml/news/casetify-reunites-pok-mon-company-130000048.html
Pokémon Go maker Niantic doubles Black Lives Matter donation to $10m,7/28/20,Tom Phillips,EuroGamer,"Pokémon Go developer Niantic has doubled its donation to Black Lives Matter charities and initiatives, from a minimum of $5m up to a final total of $10m.",https://www.eurogamer.net/articles/2020-07-28-pokemon-go-maker-niantic-doubles-black-lives-matter-donation-to-usd10m
"Upcoming Pokémon Movie Coco Gets A Brand New Trailer, Confirms Christmas Day Release Date",8/5/20,Rachel Gonzalez,The Gamer,"No word yet on how or when Pokémon Coco will be coming to the rest of the world, but Japan certainly has a holiday hit on their hands.",https://www.thegamer.com/pokemon-movie-coco-new-trailer-christmas-release/
Pokémon Virtual Fest virtual theme park coming to Japan,8/7/20,ATTRACTIONS MAGAZINE STAFF,,"The Pokémon Company has announced that it will be hosting Pokémon Virtual Fest, an unfinished virtual theme park, this month in Japan.",https://attractionsmagazine.com/pokemon-virtual-fest-virtual-theme-park-japan/
Pokémon Center Japan announces new line of cutesy merch,8/7/20,Marcus Ramirez,Nintendo Wire,"The Pokémon Company has revealed a new line of merch focusing on soft colors and silly scenes! A few adorable examples are Pokémon sleeping in Wooloo’s wool, a yamper playing with a Voltorb like a ball, and even a recreation of The Tortoise and the Hare with Raboot and Chewtle! The new line will be adapted into plushies, tote bags, mugs and a bunch of other knick-knacks and apparel.",https://nintendowire.com/news/2020/08/07/pokemon-center-japan-announces-new-line-of-cutesy-merch/
Pokemon Sword and Shield Are Now Third Best Selling Pokemon Games,8/7/20,Sam Woods,DualSHOCKERS,Pokemon Sword and Shield lifetime sales top 18 million in around nine months.,https://www.dualshockers.com/pokemon-sword-shield-sales-third-best-pokemon-game/amp/
Pokemon Rumble Rush Officially Shuts Down,7/22/20,Tanner Dedmon,Comic Book,Pokemon Rumble Rush has officially come to an end this week with the mobile Pokemon game no longer playable as of July 22nd. Gone are the listings for the game in the mobile markets as service for Pokemon Rumble Rush ended to make it so that people couldn�t download the game anymore nor can they play whatever version of it they have on their devices.,https://comicbook.com/gaming/news/pokemon-rumble-rush-shuts-down/
POKEMON SMILE WILL HELP YOU BRUSH YOUR TEETH,6/12/20,Shannon Grixti,Press Start,The Pokemon Company has kicked of its Pokemon Presents presentation with a new free Pokemon experience called �Pokemon Smile�.,https://press-start.com.au/news/nintendo/2020/06/17/pokemon-smile-will-help-you-brush-your-teeth/
Pok�mon Go Wants to Make 3D Scans of the Whole World for 'Planet-Scale Augmented Reality Experiences.' Is that Good?,6/18/20,Marcus Carter and Ben Egliston,Next Gov,"In 2016, the mobile game Pok�mon Go sent hundreds of millions of players wandering the streets in search of virtual monsters. In the process it helped popularise augmented reality (AR) technology, which overlays computer-generated imagery on real-world environments.",https://www.nextgov.com/emerging-tech/2020/06/pokemon-go-wants-make-3d-scans-whole-world-planet-scale-augmented-reality-experiences-good/166232/
New Pokemon Snap announced for Nintendo Switch,6/18/20,Steve Wright,Stevivor,New Pokemon Snap was announced for Nintendo Switch overnight as part of a Pokemon Presents stream.,https://stevivor.com/news/new-pokemon-snap-announced-nintendo-switch/
